site_name,latitude,longitude,V,H
Australia_Camerons,-32.5983,116.2542,12,27
Australia_Gnangara,-31.5338,115.8824,12,27
China_Zhang_Bei,41.2788,114.6878,4,26
China_Honghe_A,47.667,133.515,4,26
China_Honghe_B,47.663,133.532,4,26
China_Honghe_C,47.653,133.523,4,26
China_Honghe_D,47.637,133.515,4,26
China_Honghe_E,47.637,133.534,4,26
China_Hailun_A,47.41,126.838,4,26
China_Hailun_B,47.405,126.838,4,26
China_Hailun_C,47.401,126.805,4,26
China_Hailun_D,47.409,126.798,4,26
China_Hailun_E,47.429,126.801,4,26
China_BJ_wheat_1,40.2273,116.8109,4,26
China_BJ_wheat_2,40.1718,116.5722,4,26
China_BJ_wheat_3,40.2046,116.3577,4,26
China_BJ_wheat_8,40.1729,116.581,4,26
China_HN_wheat_2,35.1403,113.0238,5,27
China_HN_wheat_5,33.8126,114.6329,5,27
China_HN_wheat_6,35.1162,112.9933,5,27
China_HN_wheat_8,34.9561,112.7627,5,27
China_HN_wheat_14,33.7398,114.6906,5,27
China_HN_wheat_16,33.7197,114.3753,5,27
China_HLJ_barley_1,46.8021,131.8055,4,27
China_HLJ_barley_2,46.7954,131.8955,4,27
China_HLJ_barley_3,46.7873,131.8865,4,27
China_HLJ_barley_4,46.7859,131.9766,4,27
China_HLJ_barley_8,46.7402,131.7591,4,27
China_HLJ_barley_13,46.7137,131.715,4,27
China_HLJ_barley_14,46.7504,131.8392,4,27
China_HLJ_barley_16,46.7253,131.8995,4,27
China_HLJ_barley_19,46.7012,131.8671,4,27
China_HLJ_wheat_1,46.9679,131.9728,4,27
China_HLJ_wheat_2,46.9621,131.989,4,27
China_HLJ_wheat_3,46.939,131.9743,4,27
China_HLJ_wheat_6,46.8983,131.9819,4,27
China_HLJ_wheat_8,46.7919,131.9067,4,27
China_HLJ_wheat_14,46.7641,131.7421,4,27
China_HLJ_wheat_15,46.7589,131.8473,4,27
China_HLJ_wheat_16,46.7366,131.7147,4,27
China_AH_wheat_1,33.151,116.772,5,27
China_AH_wheat_3,33.116,116.804,5,27
China_AH_wheat_5,33.1,116.865,5,27
China_AH_wheat_12,33.087,116.899,5,27
URY,44.3996,142.2033,4,28
TOS,42.7082,141.5553,4,28
TMM,43.5614,143.1557,4,28
WTR,36.2658,139.6831,5,29
MBN,47.7981,108.331,4,25
DGT,46.2489,106.4953,4,25
KYM,47.6705,112.0764,4,25
TKY,36.146167,137.423111,5,29
FJY,35.4546,138.7623,5,29
FHK,35.443528,138.764722,5,29
